workload,period,requests,context_tokens,generated_tokens
code,2024-05-10 00:00:00+00:00,41049,100690197,1070717
code,2024-05-10 00:30:00+00:00,36491,90340230,880085
code,2024-05-10 01:00:00+00:00,37216,86166839,890935
code,2024-05-10 01:30:00+00:00,39679,86557991,1007133
code,2024-05-10 02:00:00+00:00,35300,85261387,923620
code,2024-05-10 02:30:00+00:00,31653,77693405,797494
code,2024-05-10 03:00:00+00:00,27450,67087638,676346
code,2024-05-10 03:30:00+00:00,30331,75407996,775129
code,2024-05-10 04:00:00+00:00,25843,67027784,607156
code,2024-05-10 04:30:00+00:00,20732,56185610,550159
code,2024-05-10 05:00:00+00:00,20171,49434780,527787
code,2024-05-10 05:30:00+00:00,18499,45317177,456564
code,2024-05-10 06:00:00+00:00,16407,40385681,449679
code,2024-05-10 06:30:00+00:00,16188,43027409,400993
code,2024-05-10 07:00:00+00:00,14581,38372888,347741
code,2024-05-10 07:30:00+00:00,14686,38471871,386891
code,2024-05-10 08:00:00+00:00,12698,33966852,307137
code,2024-05-10 08:30:00+00:00,13060,34084898,316560
code,2024-05-10 09:00:00+00:00,14994,41021109,374858
code,2024-05-10 09:30:00+00:00,13510,37109356,369263
code,2024-05-10 10:00:00+00:00,14658,36333728,383210
code,2024-05-10 10:30:00+00:00,14480,38697150,389219
code,2024-05-10 11:00:00+00:00,17727,45382343,456075
code,2024-05-10 11:30:00+00:00,21442,53363264,542612
code,2024-05-10 12:00:00+00:00,28198,74222619,667709
code,2024-05-10 12:30:00+00:00,41373,108704320,938723
code,2024-05-10 13:00:00+00:00,51798,133465397,1178807
code,2024-05-10 13:30:00+00:00,63771,166528076,1483957
code,2024-05-10 14:00:00+00:00,79105,204790446,1827448
code,2024-05-10 14:30:00+00:00,97026,249100652,2179486
code,2024-05-10 15:00:00+00:00,103255,256798184,2366832
code,2024-05-10 15:30:00+00:00,96810,246273435,2208681
code,2024-05-10 16:00:00+00:00,88776,231442402,2027410
code,2024-05-10 16:30:00+00:00,91261,237465538,2121342
code,2024-05-10 17:00:00+00:00,102673,257757194,2296347
code,2024-05-10 17:30:00+00:00,102681,263684572,2281436
code,2024-05-10 18:00:00+00:00,106696,277251916,2403951
code,2024-05-10 18:30:00+00:00,107258,276203733,2312964
code,2024-05-10 19:00:00+00:00,104591,272665788,2283069
code,2024-05-10 19:30:00+00:00,117179,314730321,2590769
code,2024-05-10 20:00:00+00:00,112019,293006877,2524041
code,2024-05-10 20:30:00+00:00,99688,262243523,2197253
code,2024-05-10 21:00:00+00:00,81586,214643529,1825398
code,2024-05-10 21:30:00+00:00,73210,186596204,1722075
code,2024-05-10 22:00:00+00:00,59675,152641420,1453458
code,2024-05-10 22:30:00+00:00,54902,134550658,1290612
code,2024-05-10 23:00:00+00:00,42597,103339705,986101
code,2024-05-10 23:30:00+00:00,35171,83398778,818752
code,2024-05-11 00:00:00+00:00,31734,72170267,786336
code,2024-05-11 00:30:00+00:00,28952,64893358,669627
code,2024-05-11 01:00:00+00:00,27338,63092512,588365
code,2024-05-11 01:30:00+00:00,26199,56181442,646667
code,2024-05-11 02:00:00+00:00,23325,51090784,591466
code,2024-05-11 02:30:00+00:00,24212,53202581,595348
code,2024-05-11 03:00:00+00:00,24138,56702553,568583
code,2024-05-11 03:30:00+00:00,22455,49313759,521664
code,2024-05-11 04:00:00+00:00,20606,46159089,482579
code,2024-05-11 04:30:00+00:00,18893,44203715,482846
code,2024-05-11 05:00:00+00:00,17102,36769021,415321
code,2024-05-11 05:30:00+00:00,14242,31820129,379974
code,2024-05-11 06:00:00+00:00,12813,28979811,346338
code,2024-05-11 06:30:00+00:00,12778,30628071,322661
code,2024-05-11 07:00:00+00:00,10387,22922329,250723
code,2024-05-11 07:30:00+00:00,8300,19004954,213405
code,2024-05-11 08:00:00+00:00,6863,17239276,149473
code,2024-05-11 08:30:00+00:00,6986,16627463,163152
code,2024-05-11 09:00:00+00:00,6314,14559975,128206
code,2024-05-11 09:30:00+00:00,5206,13860675,112320
code,2024-05-11 10:00:00+00:00,4393,12287322,98784
code,2024-05-11 10:30:00+00:00,4693,11699417,105270
code,2024-05-11 11:00:00+00:00,6913,17555187,143850
code,2024-05-11 11:30:00+00:00,8225,19692663,174395
code,2024-05-11 12:00:00+00:00,10896,25144969,255119
code,2024-05-11 12:30:00+00:00,14009,29410811,322873
code,2024-05-11 13:00:00+00:00,15839,31901084,363366
code,2024-05-11 13:30:00+00:00,19798,44293094,488775
code,2024-05-11 14:00:00+00:00,19831,46236062,476783
code,2024-05-11 14:30:00+00:00,22592,55549333,503329
code,2024-05-11 15:00:00+00:00,22697,49746476,545796
code,2024-05-11 15:30:00+00:00,23785,55672482,532443
code,2024-05-11 16:00:00+00:00,24201,54189133,577527
code,2024-05-11 16:30:00+00:00,26326,56445176,597959
code,2024-05-11 17:00:00+00:00,28460,62626503,622972
code,2024-05-11 17:30:00+00:00,29393,62091758,698917
code,2024-05-11 18:00:00+00:00,29312,63461742,731066
code,2024-05-11 18:30:00+00:00,33098,76603499,746152
code,2024-05-11 19:00:00+00:00,32622,75962809,785970
code,2024-05-11 19:30:00+00:00,30728,70780500,758381
code,2024-05-11 20:00:00+00:00,27296,63185048,610597
code,2024-05-11 20:30:00+00:00,28361,66324090,656861
code,2024-05-11 21:00:00+00:00,27890,60572044,674969
code,2024-05-11 21:30:00+00:00,24658,55528320,584380
code,2024-05-11 22:00:00+00:00,27029,56407641,660946
code,2024-05-11 22:30:00+00:00,29152,61253735,740194
code,2024-05-11 23:00:00+00:00,25961,55067346,612104
code,2024-05-11 23:30:00+00:00,22780,47002375,511148
code,2024-05-12 00:00:00+00:00,23208,49276206,569527
code,2024-05-12 00:30:00+00:00,24047,49664950,574255
code,2024-05-12 01:00:00+00:00,24034,50012648,539585
code,2024-05-12 01:30:00+00:00,27251,59776438,651136
code,2024-05-12 02:00:00+00:00,24398,51746374,605574
code,2024-05-12 02:30:00+00:00,21391,47130470,577196
code,2024-05-12 03:00:00+00:00,21577,48659388,491271
code,2024-05-12 03:30:00+00:00,22145,49166979,549886
code,2024-05-12 04:00:00+00:00,20114,43816605,518458
code,2024-05-12 04:30:00+00:00,18080,40050792,452045
code,2024-05-12 05:00:00+00:00,16657,36800655,404672
code,2024-05-12 05:30:00+00:00,13894,32648989,345559
code,2024-05-12 06:00:00+00:00,12908,29688839,332050
code,2024-05-12 06:30:00+00:00,10864,26615329,257019
code,2024-05-12 07:00:00+00:00,8005,19930482,182766
code,2024-05-12 07:30:00+00:00,7005,16412005,189075
code,2024-05-12 08:00:00+00:00,6327,15802159,147754
code,2024-05-12 08:30:00+00:00,5873,17050011,127178
code,2024-05-12 09:00:00+00:00,6183,16443404,137161
code,2024-05-12 09:30:00+00:00,5367,14210295,143710
code,2024-05-12 10:00:00+00:00,6329,15687091,148062
code,2024-05-12 10:30:00+00:00,6300,15472646,149953
code,2024-05-12 11:00:00+00:00,5947,14670942,150479
code,2024-05-12 11:30:00+00:00,7991,18442915,167898
code,2024-05-12 12:00:00+00:00,9315,21491066,243267
code,2024-05-12 12:30:00+00:00,11992,31338398,291127
code,2024-05-12 13:00:00+00:00,12972,33433899,301610
code,2024-05-12 13:30:00+00:00,14215,35081395,355323
code,2024-05-12 14:00:00+00:00,16064,37138264,382617
code,2024-05-12 14:30:00+00:00,19533,41417092,517588
code,2024-05-12 15:00:00+00:00,21538,44182643,512990
code,2024-05-12 15:30:00+00:00,21869,43699452,530957
code,2024-05-12 16:00:00+00:00,22447,46478219,566885
code,2024-05-12 16:30:00+00:00,23808,52082328,568824
code,2024-05-12 17:00:00+00:00,22608,48468451,495166
code,2024-05-12 17:30:00+00:00,24600,52079295,572300
code,2024-05-12 18:00:00+00:00,26571,57615304,637328
code,2024-05-12 18:30:00+00:00,27012,62241485,659116
code,2024-05-12 19:00:00+00:00,27511,60925620,680267
code,2024-05-12 19:30:00+00:00,28628,58602111,681762
code,2024-05-12 20:00:00+00:00,30160,58605254,720104
code,2024-05-12 20:30:00+00:00,32884,64214311,788580
code,2024-05-12 21:00:00+00:00,33032,68491270,743218
code,2024-05-12 21:30:00+00:00,34554,71529641,777540
code,2024-05-12 22:00:00+00:00,32300,67007069,767333
code,2024-05-12 22:30:00+00:00,29004,58282112,699060
code,2024-05-12 23:00:00+00:00,30175,65408390,750627
code,2024-05-12 23:30:00+00:00,30972,68944032,732884
code,2024-05-13 00:00:00+00:00,32113,77799447,735862
code,2024-05-13 00:30:00+00:00,33510,70766210,758031
code,2024-05-13 01:00:00+00:00,32346,70958961,772741
code,2024-05-13 01:30:00+00:00,34227,79579660,834703
code,2024-05-13 02:00:00+00:00,35620,83956634,855074
code,2024-05-13 02:30:00+00:00,30305,72400286,759861
code,2024-05-13 03:00:00+00:00,27996,67311766,708596
code,2024-05-13 03:30:00+00:00,28876,69185897,735049
code,2024-05-13 04:00:00+00:00,25547,60600042,598528
code,2024-05-13 04:30:00+00:00,23421,53345214,559591
code,2024-05-13 05:00:00+00:00,20287,47965110,485397
