figure,file_present,in_manifest,n_sources,missing_sources
fig7_grid_structure.pdf,True,True,1,
fig9_forecast_error_structure.pdf,True,True,2,
fig8_workload_structure.pdf,True,True,3,
fig1_signal_accuracy.pdf,True,True,1,
fig3_policy_comparison.pdf,True,True,1,
fig10_deferral_potential.pdf,True,True,1,
fig2_held_out_saving.pdf,True,True,1,
fig11_monthly_held_out.pdf,True,True,1,
fig4_energy_and_headroom.pdf,True,True,2,
fig15_delay_and_flexibility.pdf,True,True,2,
fig13_workload_sensitivity.pdf,True,True,1,
fig14_tenant_sensitivity.pdf,True,True,1,
fig6_spatial_and_exposure.pdf,True,True,2,
