surface,token,kind,status,sources,context
table 1,4,short integer,traced,audit_cleanest_region_share.csv:regionid; audit_deferral_potential.csv:deferral_budget_h; audit_deferral_potential.csv:saving_oracle_pct,threshold & penalty & curve & horizon & foresight\\ 4 h & 2.73 & 3.92 & 3.92
table 1,2.73,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,old & penalty & curve & horizon & foresight\\ 4 h & 2.73 & 3.92 & 3.92 & 5.26 &
table 1,3.92,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,enalty & curve & horizon & foresight\\ 4 h & 2.73 & 3.92 & 3.92 & 5.26 & & 6.64
table 1,3.92,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,& curve & horizon & foresight\\ 4 h & 2.73 & 3.92 & 3.92 & 5.26 & & 6.64\\
table 1,5.26,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:ci_high,& horizon & foresight\\ 4 h & 2.73 & 3.92 & 3.92 & 5.26 & & 6.64\\ &
table 1,6.64,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,& foresight\\ 4 h & 2.73 & 3.92 & 3.92 & 5.26 & & 6.64\\ & & &
table 1,4.14,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_low,"3.92 & 5.26 & & 6.64\\ & & & & [4.14, 6.38] & [4.07, 6.16] &"
table 1,6.38,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_high; phase5_monthly.csv:saving_pct,"& 5.26 & & 6.64\\ & & & & [4.14, 6.38] & [4.07, 6.16] & [5.37,"
table 1,4.07,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:ci_low,"& 6.64\\ & & & & [4.14, 6.38] & [4.07, 6.16] & [5.37, 7.88]\\"
table 1,6.16,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:ci_high,"64\\ & & & & [4.14, 6.38] & [4.07, 6.16] & [5.37, 7.88]\\ 12 h &"
table 1,5.37,decimal,traced,full_audit_numbers.csv:token; phase3_policy_design_period.csv:saving_vs_agnostic_pct; phase3c_utilisation.csv:tenant_spread_gCO2_kWh,"& & & & [4.14, 6.38] & [4.07, 6.16] & [5.37, 7.88]\\ 12 h & 4.95 & 7"
table 1,7.88,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_high,"& & & [4.14, 6.38] & [4.07, 6.16] & [5.37, 7.88]\\ 12 h & 4.95 & 7.15 &"
table 1,12,short integer,traced,audit_deferral_potential.csv:deferral_budget_h; audit_deferral_potential.csv:mean_delay_forecast_guided_h; audit_deferral_potential.csv:mean_delay_oracle_h,"& & [4.14, 6.38] & [4.07, 6.16] & [5.37, 7.88]\\ 12 h & 4.95 & 7.15 & 7.43 &"
table 1,4.95,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase3b_policies.csv:tenant_spread_gCO2_kWh,"& [4.14, 6.38] & [4.07, 6.16] & [5.37, 7.88]\\ 12 h & 4.95 & 7.15 & 7.43 & 8.08 &"
table 1,7.15,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,"4, 6.38] & [4.07, 6.16] & [5.37, 7.88]\\ 12 h & 4.95 & 7.15 & 7.43 & 8.08 & & 10.3"
table 1,7.43,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,"] & [4.07, 6.16] & [5.37, 7.88]\\ 12 h & 4.95 & 7.15 & 7.43 & 8.08 & & 10.32\\"
table 1,8.08,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:ci_high,"07, 6.16] & [5.37, 7.88]\\ 12 h & 4.95 & 7.15 & 7.43 & 8.08 & & 10.32\\ &"
table 1,10.32,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,"[5.37, 7.88]\\ 12 h & 4.95 & 7.15 & 7.43 & 8.08 & & 10.32\\ & & &"
table 1,5.64,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_low,"7.43 & 8.08 & & 10.32\\ & & & & [5.64, 10.59] & [6.65, 11.11]"
table 1,10.59,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_high; phase5_monthly.csv:saving_pct,"8.08 & & 10.32\\ & & & & [5.64, 10.59] & [6.65, 11.11] & [8.04"
table 1,6.65,decimal,traced,audit_forecast_error.csv:MAE; consistency_audit.csv:value; full_audit_numbers.csv:token,"& 10.32\\ & & & & [5.64, 10.59] & [6.65, 11.11] & [8.04, 12.60]\"
table 1,11.11,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase3e_policies_both_signals.csv:tenant_spread_gCO2_kWh,"2\\ & & & & [5.64, 10.59] & [6.65, 11.11] & [8.04, 12.60]\\ 24 h"
table 1,8.04,decimal,traced,full_audit_numbers.csv:token; phase3b_policies.csv:mean_delay_h; phase3c_fairness.csv:tenant_spread_gCO2_kWh,"& & & [5.64, 10.59] & [6.65, 11.11] & [8.04, 12.60]\\ 24 h & 4.96 &"
table 1,12.60,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_high,"& & & [5.64, 10.59] & [6.65, 11.11] & [8.04, 12.60]\\ 24 h & 4.96 & 7.97 &"
table 1,24,short integer,traced,audit_deferral_potential.csv:deferral_budget_h; full_audit_numbers.csv:token; llm_inference_diurnal.csv:pct_of_daily_mean,"& [5.64, 10.59] & [6.65, 11.11] & [8.04, 12.60]\\ 24 h & 4.96 & 7.97 & 8.84 &"
table 1,4.96,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:ci_high,"[5.64, 10.59] & [6.65, 11.11] & [8.04, 12.60]\\ 24 h & 4.96 & 7.97 & 8.84 & 8.36 &"
table 1,7.97,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,"10.59] & [6.65, 11.11] & [8.04, 12.60]\\ 24 h & 4.96 & 7.97 & 8.84 & 8.36 & & 11.2"
table 1,8.84,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase3c_flexibility.csv:saving_pct,"& [6.65, 11.11] & [8.04, 12.60]\\ 24 h & 4.96 & 7.97 & 8.84 & 8.36 & & 11.28\\"
table 1,8.36,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase3_policy_design_period.csv:tenant_intensity_spread,", 11.11] & [8.04, 12.60]\\ 24 h & 4.96 & 7.97 & 8.84 & 8.36 & & 11.28\\ &"
table 1,11.28,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,"[8.04, 12.60]\\ 24 h & 4.96 & 7.97 & 8.84 & 8.36 & & 11.28\\ & & &"
table 1,5.99,decimal,traced,full_audit_numbers.csv:token; phase3b_policies.csv:saving_pct; phase5_held_out.csv:ci_low,"8.84 & 8.36 & & 11.28\\ & & & & [5.99, 10.79] & [7.91, 12.15]"
table 1,10.79,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_high,"8.36 & & 11.28\\ & & & & [5.99, 10.79] & [7.91, 12.15] & [8.95"
table 1,7.91,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase4_spatial.csv:top_region_share_pct,"& 11.28\\ & & & & [5.99, 10.79] & [7.91, 12.15] & [8.95, 13.56]\"
table 1,12.15,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase3_policy_design_period.csv:mean_delay_h,"8\\ & & & & [5.99, 10.79] & [7.91, 12.15] & [8.95, 13.56]\\"
table 1,8.95,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_low,"& & & [5.99, 10.79] & [7.91, 12.15] & [8.95, 13.56]\\"
table 1,13.56,decimal,traced,full_audit_numbers.csv:token; phase5_held_out.csv:ci_high,"& & & [5.99, 10.79] & [7.91, 12.15] & [8.95, 13.56]\\"
table 2,4,short integer,traced,audit_cleanest_region_share.csv:regionid; audit_deferral_potential.csv:deferral_budget_h; audit_deferral_potential.csv:saving_oracle_pct,ed & S1 share of foresight & S2 share of foresight\\ 4 h & 5.11 & 5.34 & 104\
table 2,5.11,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:mean_saving_pct,share of foresight & S2 share of foresight\\ 4 h & 5.11 & 5.34 & 104\% & 76.95
table 2,5.34,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase3c_policies.csv:saving_pct,f foresight & S2 share of foresight\\ 4 h & 5.11 & 5.34 & 104\% & 76.95 & 80.34\
table 2,104,short integer,traced,full_audit_numbers.csv:token; llm_inference_diurnal.csv:pct_of_daily_mean; phase3b_utilisation.csv:best_tenant_intensity,ight & S2 share of foresight\\ 4 h & 5.11 & 5.34 & 104\% & 76.95 & 80.34\\ 12 h
table 2,76.95,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:pct_of_oracle,2 share of foresight\\ 4 h & 5.11 & 5.34 & 104\% & 76.95 & 80.34\\ 12 h & 8.90 &
table 2,80.34,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:pct_of_oracle,of foresight\\ 4 h & 5.11 & 5.34 & 104\% & 76.95 & 80.34\\ 12 h & 8.90 & 7.73 &
table 2,12,short integer,traced,audit_deferral_potential.csv:deferral_budget_h; audit_deferral_potential.csv:mean_delay_forecast_guided_h; audit_deferral_potential.csv:mean_delay_oracle_h,ight\\ 4 h & 5.11 & 5.34 & 104\% & 76.95 & 80.34\\ 12 h & 8.90 & 7.73 & 87\%
table 2,8.90,decimal,traced,audit_forecast_error.csv:MAE; consistency_audit.csv:value; full_audit_numbers.csv:token,4 h & 5.11 & 5.34 & 104\% & 76.95 & 80.34\\ 12 h & 8.90 & 7.73 & 87\% & 86.21
table 2,7.73,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase3b_policies.csv:tenant_spread_gCO2_kWh,5.11 & 5.34 & 104\% & 76.95 & 80.34\\ 12 h & 8.90 & 7.73 & 87\% & 86.21 & 74.90\
table 2,87,short integer,traced,full_audit_numbers.csv:token; phase5_monthly.csv:policy_intensity,& 5.34 & 104\% & 76.95 & 80.34\\ 12 h & 8.90 & 7.73 & 87\% & 86.21 & 74.90\\ 24
table 2,86.21,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:pct_of_oracle,104\% & 76.95 & 80.34\\ 12 h & 8.90 & 7.73 & 87\% & 86.21 & 74.90\\ 24 h & 10.06 &
table 2,74.90,decimal,traced,consistency_audit.csv:value; full_audit_numbers.csv:token; phase5_held_out.csv:pct_of_oracle,76.95 & 80.34\\ 12 h & 8.90 & 7.73 & 87\% & 86.21 & 74.90\\ 24 h & 10.06 & 7.89 &
