workload,hour,requests,pct_of_daily_mean
code,0,38961.57142857143,77.90600817260727
code,1,37574.21428571428,75.13190402468027
code,2,34906.5,69.79764867191412
code,3,29422.14285714286,58.83134631996118
code,4,23813.071428571428,47.615670243955265
code,5,19526.785714285714,39.04498385622924
code,6,16527.214285714286,33.04716016328552
code,7,13303.785714285714,26.601720633467814
code,8,12020.214285714286,24.035142270792228
code,9,12054.357142857143,24.103412969587936
code,10,12692.285714285714,25.37898956152203
code,11,18331.571428571428,36.65508092119025
code,12,33655.0,67.29519906187299
code,13,56692.57142857143,113.36021035849555
code,14,79841.85714285714,159.648601096366
code,15,87839.21428571429,175.63979827055894
code,16,83929.42857142857,167.8219463040718
code,17,95303.42857142857,190.56494419828493
code,18,105395.85714285714,210.74536285025408
code,19,107741.42857142857,215.4354741620816
code,20,101885.64285714286,203.7264780156983
code,21,76463.64285714286,152.89365821029241
code,22,57744.21428571428,115.46303357684127
code,23,44637.92857142857,89.25622608598883
conversation,0,72239.64285714286,88.89730768009478
conversation,1,77944.07142857143,95.91711455893332
conversation,2,77892.28571428571,95.85338763014167
conversation,3,64419.642857142855,79.27410193649656
conversation,4,64338.92857142857,79.17477582679373
conversation,5,69401.71428571429,85.40498408310081
conversation,6,79320.14285714286,97.61049288054838
conversation,7,85422.64285714286,105.12016206856734
conversation,8,87799.28571428571,108.04483255364903
conversation,9,84374.78571428571,103.83068062667304
conversation,10,78663.35714285714,96.80225962504615
conversation,11,83315.71428571429,102.52739900847494
conversation,12,92029.35714285714,113.25031179498653
conversation,13,102734.64285714286,126.42411831321854
conversation,14,107034.64285714286,131.7156508832278
conversation,15,101820.78571428571,125.29953579327338
conversation,16,93288.85714285714,114.80023860241133
conversation,17,89219.64285714286,109.79270838678248
conversation,18,88470.0,108.87020615551593
conversation,19,83264.07142857143,102.46384787810754
conversation,20,77909.42857142857,95.87448344105199
conversation,21,66337.85714285714,81.63463527815102
conversation,22,60018.857142857145,73.85854357817698
conversation,23,63025.28571428572,77.55822141657713
