policy,B_h,fair_cap,total_carbon_gCO2_per_core,work_carbon_intensity,served_core_periods,deadline_violation_pct,mean_delay_h,tenant_intensity_jain,tenant_intensity_spread,worst_tenant_intensity,best_tenant_intensity,saving_vs_agnostic_pct
agnostic,4,,1540964.686233063,125.62847580552267,3421.3638116719044,0.0,0.2686961997514599,0.9999999005988578,0.11415096875350628,125.7292619806515,125.615111011898,0.0
threshold,4,,1761217.0996739797,122.44891531635498,3421.363811671903,0.0,1.8481025170512537,0.9999857500303654,1.3324780640780034,123.62538687001611,122.29290880593811,2.530923398362133
percentile,4,,1659513.1546993149,123.5176282325903,3421.363811671901,0.0,2.6123425703567817,0.9999980709725182,0.4944531772167551,123.95419083971154,123.45973766249479,1.6802301861880728
horizon,4,,1766753.2027239627,116.05237219711249,3421.363811671905,0.0,1.87142262750111,0.9998589197322658,3.9759915096314558,119.56285468449681,115.58686317486536,7.62255813979175
lyapunov,4,,1762173.3843641975,122.46376707477467,3421.363811671903,0.0,1.825846087014125,0.9999847447479224,1.3788576692886778,123.68118811021182,122.30233044092314,2.5191014301941266
oracle,4,,1766120.9107152577,113.52378940566398,3421.363811671902,0.0,1.8001136055376252,0.9997013645953269,5.6611575420896685,118.52213871343845,112.86098117134878,9.635304672960594
agnostic,12,,1540964.686233063,125.62847580552332,3421.3638116718867,0.0,3.4282416788606236,0.9999992624772747,0.21710203417141827,125.7292619806533,125.51215994648189,0.0
threshold,12,,1751493.4029183586,118.15580971461978,3421.363811671891,0.0,6.62524534742965,0.9991871266226277,8.542681088066118,123.59813553501195,115.05545444694583,5.948226341989103
percentile,12,,1650766.2750132491,118.88108722079677,3421.363811671895,0.0,8.392165480331027,0.9991412289969623,8.363685324420842,123.92101169786794,115.5573263734471,5.370906987020771
horizon,12,,1621107.7899997325,107.08020815343062,3421.3638116718967,0.0,8.388839370722811,0.9943353852864822,21.08218351463185,121.27009671094295,100.1879131963111,14.764381668377466
lyapunov,12,,1753427.7201611386,118.13976601012796,3421.363811671891,0.0,6.544184887600875,0.9991900192682422,8.57811448742585,123.6468230203684,115.06870853294255,5.960997096699728
oracle,12,,1614307.9489206807,105.66140421435725,3421.3638116718967,0.0,8.327383500358433,0.9927536923586884,23.46354289664812,121.34982462759109,97.88628173094297,15.893746591398358
agnostic,24,,1540964.686233063,125.62847580552277,3421.363811671901,0.0,12.149479701989852,0.9999983414099151,0.368869137192263,125.72926198067252,125.36039284348026,0.0
threshold,24,,1748156.651967355,116.26225924141879,3421.363811671902,0.0,16.141846546131728,0.9975610108448757,15.593570247601676,123.59791533961585,108.00434509201418,7.45548849816757
percentile,24,,1647608.3766610648,117.02131776451056,3421.3638116719017,0.0,18.554849933634348,0.9975428379358053,15.181296467688654,123.9208730387109,108.73957657102224,6.8512795254607655
horizon,24,,1567110.3128455142,108.7280197958876,3421.3638116719017,0.0,19.846266028202056,0.9903318631948809,29.229107933244876,122.93778146123057,93.7086735279857,13.452727099704415
lyapunov,24,,1750436.945926295,116.19361378434401,3421.363811671902,0.0,16.003362506577922,0.9975323891335486,15.758831924100448,123.647186080697,107.88835415659655,7.510130136247336
oracle,24,,1566053.5804897435,107.92024383034378,3421.363811671901,0.0,19.813772276863684,0.9881265008164367,32.093078694497905,123.14416080306125,91.05108210856335,14.095715053163541
