policy,B_h,fair_lambda,utilisation,work_carbon_intensity,facility_carbon_gCO2,deadline_violation_pct,mean_delay_h,tenant_jain,tenant_spread_gCO2_kWh,worst_tenant_intensity,best_tenant_intensity,saving_pct
agnostic,4,0.0,0.8186914964880943,129.58187191558653,2078978.8299548822,0.0,0.6499328998461794,0.9999394728936025,2.906981706029484,132.14848811943955,129.24150641341006,0.0
threshold,4,0.0,0.8186914964880943,125.41776617844528,2050295.641805359,1.7656018504888138,2.6840739051559033,0.9998877915828939,3.831600160063388,128.7988216852129,124.96722152514953,3.2134940447949982
percentile,4,0.0,0.8186914964880943,126.6048981780808,2051844.2490196365,2.414669621978162,3.2139933319046112,0.9999081169641113,3.4997796413504005,129.69222223951346,126.19244259816305,2.2973689864929714
horizon,4,0.0,0.8186914964880943,126.68073983764415,2062685.7699882677,0.5514298943223644,3.3867766814998115,0.9999661550723248,2.124802637481366,128.55682273318354,126.43202009570217,2.238841000716722
lyapunov,4,0.0,0.8186914964880943,125.36837931496797,2051149.409868584,1.575470065326209,2.5325799688683373,0.9998801849452558,3.957899166290204,128.86118516570454,124.90328599941434,3.251606523606449
oracle,4,0.0,0.8186914964880943,124.14072967949335,2050947.2805114798,0.6187929098845483,3.303607998056339,0.9999491195289456,2.553245083313115,126.3950876498317,123.84184256651858,4.198999563486555
agnostic,12,0.0,0.8186914964880943,129.58187191558528,2078978.8299548822,0.0,3.8096079663031404,0.9995511006182742,5.5305080825617665,132.14933901994985,126.61883093738808,0.0
threshold,12,0.0,0.8186914964880943,123.03910323972853,2046522.8788116826,0.5484259082818997,8.76085968234376,0.9994900995090658,7.536105288296596,129.07207951401853,121.53597422572193,5.049138879641255
percentile,12,0.0,0.8186914964880943,124.79469165523125,2052806.9984298027,0.8276654023409271,10.212669474258703,0.999664822186203,7.137877015675528,129.81337202888244,122.67549501320691,3.69432868161728
horizon,12,0.0,0.8186914964880943,127.61681332217611,2068429.5378382136,0.2512383871734025,11.68972478017487,0.9998184430485034,5.321480417792074,130.33513830963392,125.01365789184185,1.5164610329825179
lyapunov,12,0.0,0.8186914964880943,122.8439326598665,2046405.2077571456,0.41172853734417053,8.044816272381306,0.9994806688508269,7.7289483939973,129.0442701001391,121.3153217061418,5.199754530562842
oracle,12,0.0,0.8186914964880943,125.37175215916207,2058488.602927437,0.22915499583715357,11.593883083177962,0.9998386969445073,4.951252214979192,127.94385564340455,122.99260342842535,3.249003656287546
agnostic,24,0.0,0.8186914964880943,129.58187191558886,2078978.8299548822,0.0,12.531233710784301,0.9990404271670131,9.224076756345866,132.14933901994985,122.92526226360398,0.0
threshold,24,0.0,0.8186914964880943,122.06372158261554,2044774.9825424906,0.07219422803087122,19.56406201439812,0.9990703047577864,11.269885721234829,129.23642978410035,117.96654406286552,5.801853470577066
percentile,24,0.0,0.8186914964880943,124.58810419890824,2055930.8560726354,0.1056697329883095,21.59437238369833,0.9996077770790279,7.2556535835173435,129.96730774406512,122.71165416054778,3.8537548831935537
horizon,24,0.0,0.8186914964880943,127.82681176997578,2070680.119391488,0.005635008756796212,23.663679632036782,0.9997658829671501,5.329698500877726,130.17557015074004,124.84587164986232,1.3544025253442493
lyapunov,24,0.0,0.8186914964880943,121.82355056622455,2043848.488239408,0.044316609467156105,18.19070776300908,0.9991266617519198,10.883291245337034,129.16384445652338,118.28055321118634,5.987196538122377
oracle,24,0.0,0.8186914964880943,125.33116977964508,2059463.0863742756,0.006094168058697366,23.54107872041173,0.9997859214380429,5.1042800737761524,127.75372521069967,122.64944513692352,3.2803216013986427
