policy,B_h,fair_lambda,utilisation,work_carbon_intensity,facility_carbon_gCO2,deadline_violation_pct,mean_delay_h,tenant_jain,tenant_spread_gCO2_kWh,worst_tenant_intensity,best_tenant_intensity,saving_pct,signal
agnostic,12,0.0,0.818697277682489,128.12279414548874,2016872.1992094852,0.0,3.8096436701673735,0.9995423862102677,5.521129967670362,130.6859081745972,125.16477820692683,0.0,S1_published
threshold,12,0.0,0.818697277682489,121.94004022451776,1989394.8245881884,0.03898976229434627,8.799418055710971,0.9995348912920509,7.306930426496606,127.72232079323967,120.41539036674307,4.825647116273633,S1_published
horizon,12,0.0,0.818697277682489,119.50508022454859,1978751.698981623,0.0006698290494350263,10.528203024446217,0.9997077435196976,6.222389036379738,124.12377111867038,117.90138208229064,6.726136421247866,S1_published
oracle,12,0.0,0.818697277682489,117.45208616181982,1969693.5778590478,0.0020993156906650083,10.432484924173831,0.999636232176117,6.785741588232838,122.78026254326177,115.99452095502893,8.328500837682236,S1_published
agnostic,24,0.0,0.818697277682489,128.12279414549218,2016872.1992094852,0.0,12.531277020102392,0.9990222109925274,9.207026717413143,130.6859081745972,121.47888145718404,0.0,S1_published
threshold,24,0.0,0.818697277682489,120.67357470784975,1984009.8712279634,0.0017244034177755006,19.605984151779957,0.9990776307395921,11.114830010221198,127.78876825031661,116.67393824009541,5.814125025390353,S1_published
horizon,24,0.0,0.818697277682489,118.01727152050441,1972117.552353008,0.0,22.072188910862945,0.9994417755076055,7.990982089069462,124.47880798594318,116.48782589687372,7.887372963090596,S1_published
oracle,24,0.0,0.818697277682489,116.29835463088094,1964547.7461157914,3.9977571144636224e-05,22.024518250377763,0.9993234401060386,8.9187662412171,123.2958096053042,114.3770433640871,9.228989730885656,S1_published
agnostic,12,0.0,0.818697277682489,128.12279414548874,2016872.1992094852,0.0,3.8096436701673735,0.9995423862102677,5.521129967670362,130.6859081745972,125.16477820692683,0.0,S2_day_ahead
threshold,12,0.0,0.818697277682489,123.9786741028593,1998377.9901447156,0.03977189823482014,8.908586690920327,0.9997126244544285,6.281589673356976,128.65668743344415,122.37509776008717,3.2344908415934315,S2_day_ahead
horizon,12,0.0,0.818697277682489,120.3440561606808,1982418.2853997075,0.00028404478132593516,10.465442825021768,0.9997649744379494,5.686113615614644,124.68061252726623,118.99449891165159,6.071314660820516,S2_day_ahead
oracle,12,0.0,0.818697277682489,117.45208616181982,1969693.5778590478,0.0020993156906650083,10.432484924173831,0.999636232176117,6.785741588232838,122.78026254326177,115.99452095502893,8.328500837682236,S2_day_ahead
agnostic,24,0.0,0.818697277682489,128.12279414549218,2016872.1992094852,0.0,12.531277020102392,0.9990222109925274,9.207026717413143,130.6859081745972,121.47888145718404,0.0,S2_day_ahead
threshold,24,0.0,0.818697277682489,123.15568264206983,1994956.4756600321,0.0017244034177755006,19.654123892330777,0.9995152796314704,8.120225225171978,128.7755064509974,120.65528122582542,3.876836699160534,S2_day_ahead
horizon,24,0.0,0.818697277682489,119.98396912081388,1980757.9238540935,0.0,22.179552883581547,0.9996701109207382,6.4694537451449605,125.18103231289564,118.71157856775068,6.352363042782307,S2_day_ahead
oracle,24,0.0,0.818697277682489,116.29835463088094,1964547.7461157914,3.9977571144636224e-05,22.024518250377763,0.9993234401060386,8.9187662412171,123.2958096053042,114.3770433640871,9.228989730885656,S2_day_ahead
