signal,B_h,policy,month,baseline_intensity,policy_intensity,saving_pct
S1_published,4,threshold,2025-09,113.39195239621272,109.35364505851663,3.5613703198137734
S1_published,4,threshold,2025-10,135.91931148594293,133.01083916559105,2.139852158280449
S1_published,4,threshold,2025-11,121.75382544791883,118.20537931861145,2.9144432351534246
S1_published,4,threshold,2025-12,114.31495211302493,111.28525316292233,2.650308550282285
S1_published,4,threshold,2026-01,139.23335777394612,138.13636063703112,0.787883847989969
S1_published,4,threshold,2026-02,131.89952563505796,129.247684014751,2.0105012565732174
S1_published,4,threshold,2026-03,117.56727356483798,113.55351239936529,3.4140122874067593
S1_published,4,threshold,2026-04,96.52764462666944,92.01152868018782,4.678572614040425
S1_published,4,threshold,2026-05,128.00302775880576,119.88498069961095,6.342074247252594
S1_published,4,threshold,2026-06,139.73773252664367,132.2216726194835,5.378690330277883
S1_published,4,threshold,2026-07,129.16885098945812,121.45498749600212,5.97192235927341
S1_published,4,threshold,2026-08,131.74122330722022,122.19410567865971,7.246871851414843
S1_published,4,percentile,2025-09,113.39195239621272,111.91925071889231,1.2987708970514114
S1_published,4,percentile,2025-10,135.91931148594293,133.96207441036688,1.4399992570433728
S1_published,4,percentile,2025-11,121.75382544791883,120.0956916863424,1.361874056504042
S1_published,4,percentile,2025-12,114.31495211302493,112.94553031354039,1.197937604986768
S1_published,4,percentile,2026-01,139.23335777394612,138.52387803805811,0.509561607384269
S1_published,4,percentile,2026-02,131.89952563505796,130.01145309498443,1.431447559028739
S1_published,4,percentile,2026-03,117.56727356483798,114.99676519781495,2.1864148832246215
S1_published,4,percentile,2026-04,96.52764462666944,93.33413197653283,3.308391769516234
S1_published,4,percentile,2026-05,128.00302775880576,121.08982785974177,5.400809668416926
S1_published,4,percentile,2026-06,139.73773252664367,134.93122811549608,3.4396610881253094
S1_published,4,percentile,2026-07,129.16885098945812,122.32722353887583,5.296654261591799
S1_published,4,percentile,2026-08,131.74122330722022,124.03316904885874,5.850905331572883
S1_published,4,capacitycurve,2025-09,113.39195239621272,107.3205779517747,5.354325696080708
S1_published,4,capacitycurve,2025-10,135.91931148594293,132.42313871768363,2.572241376179191
S1_published,4,capacitycurve,2025-11,121.75382544791883,116.25043659659823,4.520095225816713
S1_published,4,capacitycurve,2025-12,114.31495211302493,111.15536674892401,2.7639300946187597
S1_published,4,capacitycurve,2026-01,139.23335777394612,135.61304052679142,2.6001795151938434
S1_published,4,capacitycurve,2026-02,131.89952563505796,127.10838870138097,3.632414074735331
S1_published,4,capacitycurve,2026-03,117.56727356483798,111.75710964638759,4.941990863848772
S1_published,4,capacitycurve,2026-04,96.52764462666944,90.36810969715778,6.381109736318852
S1_published,4,capacitycurve,2026-05,128.00302775880576,117.99552787645513,7.818174349131503
S1_published,4,capacitycurve,2026-06,139.73773252664367,130.21225458631926,6.816682772856781
S1_published,4,capacitycurve,2026-07,129.16885098945812,119.56239994301598,7.4371266546500125
S1_published,4,capacitycurve,2026-08,131.74122330722022,120.85154944873518,8.265957750438027
S1_published,4,lyapunov,2025-09,113.39195239621272,109.3663789935973,3.5501403032106844
S1_published,4,lyapunov,2025-10,135.91931148594293,133.01083916559105,2.139852158280449
S1_published,4,lyapunov,2025-11,121.75382544791883,118.11397636226971,2.989515173144266
S1_published,4,lyapunov,2025-12,114.31495211302493,111.26972338549407,2.663893630047617
S1_published,4,lyapunov,2026-01,139.23335777394612,138.18474938772206,0.753130142797059
S1_published,4,lyapunov,2026-02,131.89952563505796,129.18311459619886,2.0594547446477622
S1_published,4,lyapunov,2026-03,117.56727356483798,113.57453201384665,3.3961334901496563
S1_published,4,lyapunov,2026-04,96.52764462666944,92.01541475501911,4.6745467467913935
S1_published,4,lyapunov,2026-05,128.00302775880576,119.88965059083364,6.338425981032289
S1_published,4,lyapunov,2026-06,139.73773252664367,132.2241949745914,5.376885266561535
S1_published,4,lyapunov,2026-07,129.16885098945812,121.53153133634144,5.912663614031825
S1_published,4,lyapunov,2026-08,131.74122330722022,122.27748864330182,7.18357885735507
S1_published,4,horizon,2025-09,113.39195239621272,108.07191727739806,4.691721948860585
S1_published,4,horizon,2025-10,135.91931148594293,132.51884779346742,2.501825278026953
S1_published,4,horizon,2025-11,121.75382544791883,115.66145372076681,5.003844195234813
S1_published,4,horizon,2025-12,114.31495211302493,111.02774643982808,2.8755693043082773
S1_published,4,horizon,2026-01,139.23335777394612,135.46391940948385,2.7072810889055687
S1_published,4,horizon,2026-02,131.89952563505796,126.97710432351876,3.7319476987041202
S1_published,4,horizon,2026-03,117.56727356483798,111.8633804334259,4.851599393658129
S1_published,4,horizon,2026-04,96.52764462666944,90.98561479276604,5.741391344767364
S1_published,4,horizon,2026-05,128.00302775880576,118.72778609908187,7.246111144496591
S1_published,4,horizon,2026-06,139.73773252664367,130.63891469675528,6.5113535659765525
S1_published,4,horizon,2026-07,129.16885098945812,119.48867185729328,7.494205497697635
S1_published,4,horizon,2026-08,131.74122330722022,121.23206845349588,7.977119530169395
S1_published,4,oracle,2025-09,113.39195239621272,106.15157962266389,6.385261582100296
S1_published,4,oracle,2025-10,135.91931148594293,131.14996538437563,3.5089539885291057
S1_published,4,oracle,2025-11,121.75382544791883,114.47489579905971,5.97839913619202
S1_published,4,oracle,2025-12,114.31495211302493,109.72650924893725,4.013860636140597
S1_published,4,oracle,2026-01,139.23335777394612,134.01010094272203,3.75144068543141
S1_published,4,oracle,2026-02,131.89952563505796,125.59548802890707,4.779424016726954
S1_published,4,oracle,2026-03,117.56727356483798,109.67654634834479,6.711669818677455
S1_published,4,oracle,2026-04,96.52764462666944,88.86985559526224,7.933260011703889
S1_published,4,oracle,2026-05,128.00302775880576,116.20153351254383,9.219699293753667
S1_published,4,oracle,2026-06,139.73773252664367,128.32163543124247,8.169659610888921
S1_published,4,oracle,2026-07,129.16885098945812,116.80420666044058,9.572465988744186
S1_published,4,oracle,2026-08,131.74122330722022,118.98176223750609,9.685245627300047
S1_published,12,threshold,2025-09,113.39195239621351,105.38673381706857,7.059776650791891
S1_published,12,threshold,2025-10,135.91931148594352,131.3781201812543,3.34109351720698
S1_published,12,threshold,2025-11,121.75382544791934,117.33303990438814,3.630921268607042
S1_published,12,threshold,2025-12,114.31495211302567,110.55512254037124,3.2890094455334244
S1_published,12,threshold,2026-01,139.2333577739469,138.77358633714744,0.3302164396163752
S1_published,12,threshold,2026-02,131.89952563505884,128.70717322192326,2.420291049391807
S1_published,12,threshold,2026-03,117.567273564839,109.67743272006224,6.71091589142404
S1_published,12,threshold,2026-04,96.52764462667004,87.4758973869252,9.377362593641795
S1_published,12,threshold,2026-05,128.00302775880684,112.10890955736207,12.416986128948208
S1_published,12,threshold,2026-06,139.7377325266445,124.60283565082071,10.830930631379708
S1_published,12,threshold,2026-07,129.16885098945912,113.18259538501204,12.376246658531976
S1_published,12,threshold,2026-08,131.74122330722145,113.26608835581388,14.023807042024671
S1_published,12,percentile,2025-09,113.39195239621351,110.25108344981687,2.7699222740444847
S1_published,12,percentile,2025-10,135.91931148594352,132.80128196649218,2.2940298073639083
S1_published,12,percentile,2025-11,121.75382544791934,122.44244045506787,-0.5655797709970807
