season,hour,mef_gCO2_kWh,n
Autumn,0,267.3369255698956,1287
Autumn,1,251.72111549800553,1340
Autumn,2,224.3403041061832,1284
Autumn,3,260.05871175416877,1259
Autumn,4,346.9968637010449,1341
Autumn,5,374.43278770218996,1439
Autumn,6,407.376255554729,1462
Autumn,7,405.3861062983687,1459
Autumn,8,325.4617781626619,1451
Autumn,9,290.57116265794946,1402
Autumn,10,216.99756673328122,1327
Autumn,11,160.2109956285761,1288
Autumn,12,197.45530899105506,1347
Autumn,13,146.6763095487999,1358
Autumn,14,235.99469519759884,1331
Autumn,15,270.42219717189414,1388
Autumn,16,180.56811244218056,1405
Autumn,17,186.17879221522455,1331
Autumn,18,279.50404723344053,1391
Autumn,19,307.87597609522436,1444
Autumn,20,395.83659119898533,1458
Autumn,21,416.02741920111185,1457
Autumn,22,399.0909352738757,1460
Autumn,23,383.2313197766166,1440
Spring,0,290.9597536692031,1439
Spring,1,237.05496765043395,1502
Spring,2,228.88505466341036,1431
Spring,3,252.33423166121685,1414
Spring,4,324.9014293662938,1468
Spring,5,311.79512615925375,1614
Spring,6,379.1704680562947,1648
Spring,7,372.23875446952087,1650
Spring,8,299.6039407015582,1628
Spring,9,247.21990611318776,1550
Spring,10,200.5370536948748,1488
Spring,11,154.4045041383785,1467
Spring,12,169.88897725494542,1535
Spring,13,131.24430617054801,1572
Spring,14,175.32652449256676,1549
Spring,15,239.32470740388132,1527
Spring,16,300.3491372050369,1561
Spring,17,215.5902789915009,1551
Spring,18,152.24260666993897,1578
Spring,19,230.13758891117484,1580
Spring,20,364.1497490015137,1619
Spring,21,444.23255440831747,1650
Spring,22,396.6983233888477,1649
Spring,23,358.7527495032748,1622
Summer,0,277.50068000913166,1495
Summer,1,225.74830192191902,1479
Summer,2,205.4091193260643,1370
Summer,3,227.45888439661184,1342
Summer,4,282.2458159200945,1504
Summer,5,333.50940656938695,1639
Summer,6,361.51078534233557,1651
Summer,7,307.1965191335681,1652
Summer,8,209.7612881313881,1641
Summer,9,148.60872094229632,1564
Summer,10,115.80777868228718,1542
Summer,11,119.60359331871754,1473
Summer,12,121.56044341856207,1512
Summer,13,101.53950965087859,1554
Summer,14,161.57067919111736,1488
Summer,15,214.15862125951116,1480
Summer,16,237.73051095986492,1473
Summer,17,255.1550156891466,1570
Summer,18,196.1566256988663,1611
Summer,19,151.74301956378667,1616
Summer,20,292.75677801549284,1579
Summer,21,363.89160723717833,1628
Summer,22,361.00824878254633,1646
Summer,23,321.5786458668655,1614
Winter,0,286.22640836609304,1424
Winter,1,272.8160827517124,1444
Winter,2,211.22511900222833,1407
Winter,3,197.74636186794956,1437
Winter,4,265.9856138704946,1366
Winter,5,353.9425759090677,1453
Winter,6,422.41670996927,1547
Winter,7,401.6012157597236,1548
Winter,8,295.84816623487444,1544
Winter,9,287.776486076892,1537
Winter,10,267.07343220540815,1461
Winter,11,255.19468774929462,1409
Winter,12,199.98146224251892,1406
Winter,13,186.41812547824492,1437
Winter,14,181.43157819637773,1431
Winter,15,242.26259675674018,1418
Winter,16,229.4419470654245,1538
Winter,17,289.49558816940043,1463
Winter,18,253.88555031661366,1497
Winter,19,303.22250063229427,1552
Winter,20,445.90801811685367,1556
Winter,21,440.6701615749864,1558
Winter,22,433.37680996737146,1560
Winter,23,404.2723299578258,1550
