signal,B_h,policy_a,policy_b,mean_difference_pp,ci_low,ci_high,months_a_better,n_months,p_wilcoxon,p_holm,distinguishable_5pct
S1_published,4,percentile,threshold,-1.1978395894427214,-1.5225196169612314,-0.884584233055346,0,12,0.00048828125,0.00732421875,True
S1_published,4,percentile,lyapunov,-1.192982676966936,-1.5143894935449853,-0.8786537799864149,0,12,0.00048828125,0.00732421875,True
S1_published,4,percentile,capacitycurve,-2.53181667711851,-2.96293906550042,-2.09857658994837,0,12,0.00048828125,0.00732421875,True
S1_published,4,percentile,horizon,-2.384295167196634,-2.7733354208199685,-2.001595363502719,0,12,0.00048828125,0.00732421875,True
S1_published,4,percentile,oracle,-3.9155760343118478,-4.376934662353596,-3.4025797852728665,0,12,0.00048828125,0.00732421875,True
S1_published,4,threshold,lyapunov,0.004856912475785485,-0.017637226283420522,0.025726590646756965,8,12,0.46484375,0.6025390625,False
S1_published,4,threshold,capacitycurve,-1.3339770876757886,-1.5954032288885103,-1.0199482504614252,0,12,0.00048828125,0.00732421875,True
S1_published,4,threshold,horizon,-1.1864555777539125,-1.4985282828759952,-0.8771218102019638,0,12,0.00048828125,0.00732421875,True
S1_published,4,threshold,oracle,-2.7177364448691264,-3.060702670498228,-2.3168379734633824,0,12,0.00048828125,0.00732421875,True
S1_published,4,lyapunov,capacitycurve,-1.338834000151574,-1.5995763418287885,-1.023273818575368,0,12,0.00048828125,0.00732421875,True
S1_published,4,lyapunov,horizon,-1.1913124902296983,-1.498797683508995,-0.8851859380635791,0,12,0.00048828125,0.00732421875,True
S1_published,4,lyapunov,oracle,-2.722593357344912,-3.070291698804007,-2.3146476560183618,0,12,0.00048828125,0.00732421875,True
S1_published,4,capacitycurve,horizon,0.14752150992187585,-0.041653627988032606,0.34306287116527295,7,12,0.30126953125,0.6025390625,False
S1_published,4,capacitycurve,oracle,-1.3837593571933382,-1.573876246187339,-1.2164629221987115,0,12,0.00048828125,0.00732421875,True
S1_published,4,horizon,oracle,-1.531280867115214,-1.7781947492612495,-1.2803070256328632,0,12,0.00048828125,0.00732421875,True
S1_published,12,percentile,threshold,-2.1963245775945164,-2.9482020602324965,-1.4911899534179576,0,12,0.00048828125,0.00732421875,True
S1_published,12,percentile,lyapunov,-2.479264466138721,-3.2653346609370155,-1.755657682683386,0,12,0.00048828125,0.00732421875,True
S1_published,12,percentile,capacitycurve,-3.121424385093119,-3.836506447998764,-2.412247049649877,0,12,0.00048828125,0.00732421875,True
S1_published,12,percentile,horizon,-3.941450605929211,-4.736565274549345,-3.2317593135179994,0,12,0.00048828125,0.00732421875,True
S1_published,12,percentile,oracle,-5.36462916809623,-6.2007386350255995,-4.569304037982449,0,12,0.00048828125,0.00732421875,True
S1_published,12,threshold,lyapunov,-0.28293988854420477,-0.502780916993463,-0.08202192059992844,4,12,0.0341796875,0.08056640625,False
S1_published,12,threshold,capacitycurve,-0.9250998074986022,-1.5183497941526432,-0.3521341179012174,2,12,0.02685546875,0.08056640625,False
S1_published,12,threshold,horizon,-1.7451260283346954,-2.3512486782775825,-1.1415238299320423,0,12,0.00048828125,0.00732421875,True
S1_published,12,threshold,oracle,-3.168304590501714,-3.7738276524136207,-2.5665141153381605,0,12,0.00048828125,0.00732421875,True
S1_published,12,lyapunov,capacitycurve,-0.6421599189543975,-1.1883550341229765,-0.07711276603012678,2,12,0.06396484375,0.08056640625,False
S1_published,12,lyapunov,horizon,-1.4621861397904905,-1.9856903119911584,-0.9197449225041955,1,12,0.0009765625,0.00732421875,True
S1_published,12,lyapunov,oracle,-2.8853647019575095,-3.4455127032260036,-2.324735126906158,0,12,0.00048828125,0.00732421875,True
S1_published,12,capacitycurve,horizon,-0.820026220836093,-1.1765192948256185,-0.44493353977626404,2,12,0.00341796875,0.013671875,True
S1_published,12,capacitycurve,oracle,-2.2432047830031117,-2.663687385520804,-1.8332519484976324,0,12,0.00048828125,0.00732421875,True
S1_published,12,horizon,oracle,-1.4231785621670188,-1.5932448700055148,-1.2755832685699424,0,12,0.00048828125,0.00732421875,True
S1_published,24,percentile,threshold,-3.0166302468697217,-3.8562021343439215,-2.1797836014977303,0,12,0.00048828125,0.00732421875,True
S1_published,24,percentile,lyapunov,-3.8832266560348914,-4.672843137169805,-3.07953018415899,0,12,0.00048828125,0.00732421875,True
S1_published,24,percentile,capacitycurve,-3.4033402617638493,-4.334909180506353,-2.415162982243499,1,12,0.0009765625,0.00732421875,True
S1_published,24,percentile,horizon,-5.105094930156197,-5.94553147570122,-4.230313599509193,0,12,0.00048828125,0.00732421875,True
S1_published,24,percentile,oracle,-6.326246904665766,-7.223296005424406,-5.381916496413731,0,12,0.00048828125,0.00732421875,True
S1_published,24,threshold,lyapunov,-0.8665964091651707,-1.3987410620048366,-0.38873426885077184,2,12,0.0048828125,0.01953125,True
S1_published,24,threshold,capacitycurve,-0.38671001489412743,-1.0579682894623945,0.34441108466126924,4,12,0.26611328125,0.5322265625,False
S1_published,24,threshold,horizon,-2.088464683286476,-2.7791421673429673,-1.354798306932394,1,12,0.0009765625,0.00732421875,True
S1_published,24,threshold,oracle,-3.309616657796043,-3.950529030646406,-2.575539035321021,0,12,0.00048828125,0.00732421875,True
S1_published,24,lyapunov,capacitycurve,0.4798863942710434,-0.10385603324538795,1.1048735657649895,7,12,0.30126953125,0.5322265625,False
S1_published,24,lyapunov,horizon,-1.2218682741213047,-1.8198280361662358,-0.6024110276012393,2,12,0.0068359375,0.0205078125,True
S1_published,24,lyapunov,oracle,-2.4430202486308725,-3.127543847006442,-1.7601834648600336,0,12,0.00048828125,0.00732421875,True
S1_published,24,capacitycurve,horizon,-1.7017546683923481,-2.1768181877028256,-1.2385470574314534,0,12,0.00048828125,0.00732421875,True
S1_published,24,capacitycurve,oracle,-2.922906642901916,-3.393197106695292,-2.489660457607484,0,12,0.00048828125,0.00732421875,True
S1_published,24,horizon,oracle,-1.2211519745095676,-1.4455264759583146,-1.0180556858247662,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,percentile,threshold,-0.6480413451295217,-0.9573099708556704,-0.3251192517763737,2,12,0.00927734375,0.0185546875,True
S2_day_ahead,4,percentile,lyapunov,-0.6293034001939178,-0.9277158630569361,-0.3302645539342089,2,12,0.0048828125,0.0146484375,True
S2_day_ahead,4,percentile,capacitycurve,-1.643585945149572,-1.8171051540288965,-1.4333272749033448,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,percentile,horizon,-2.7849395393946934,-3.22778239883022,-2.3175742516820197,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,percentile,oracle,-4.090782792064678,-4.428979457212822,-3.7526611018229716,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,threshold,lyapunov,0.018737944935603903,-0.021023434756989697,0.06409255313501777,5,12,0.791015625,0.791015625,False
S2_day_ahead,4,threshold,capacitycurve,-0.9955446000200506,-1.2527138298050065,-0.7563535502104496,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,threshold,horizon,-2.136898194265172,-2.4854372148813235,-1.7595841220184523,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,threshold,oracle,-3.4427414469351567,-3.734899376281404,-3.1021344102003865,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,lyapunov,capacitycurve,-1.0142825449556545,-1.272507413934803,-0.7727695112030729,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,lyapunov,horizon,-2.1556361392007752,-2.5319131648947453,-1.7623435487715557,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,lyapunov,oracle,-3.461479391870761,-3.783647982241045,-3.1033777746806543,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,capacitycurve,horizon,-1.141353594245121,-1.5189600945094976,-0.7636770850701927,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,capacitycurve,oracle,-2.4471968469151055,-2.731249453239676,-2.177243500199835,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,4,horizon,oracle,-1.305843252669985,-1.524779035546987,-1.0884098344233932,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,12,percentile,threshold,-1.1888069772612109,-1.8020459859532598,-0.5967006120173894,1,12,0.00244140625,0.01220703125,True
S2_day_ahead,12,percentile,lyapunov,-1.3569077782741756,-2.16108291967037,-0.5475345322690377,2,12,0.01220703125,0.03662109375,True
S2_day_ahead,12,percentile,capacitycurve,-2.090401368772328,-2.5257690270657247,-1.627563564908611,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,12,percentile,horizon,-3.252642606579156,-3.697687098880116,-2.764942147891291,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,12,percentile,oracle,-5.842744546013744,-6.429878840928144,-5.313573716176103,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,12,threshold,lyapunov,-0.16810080101296485,-0.7510366547143111,0.41551202471861964,5,12,0.67724609375,0.67724609375,False
S2_day_ahead,12,threshold,capacitycurve,-0.9015943915111171,-1.3924342149111075,-0.4621412603085091,1,12,0.00244140625,0.01220703125,True
S2_day_ahead,12,threshold,horizon,-2.063835629317945,-2.5985725126196346,-1.5362875531674998,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,12,threshold,oracle,-4.653937568752533,-5.436254024876394,-3.9149447354326137,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,12,lyapunov,capacitycurve,-0.7334935904981522,-1.4224336128101955,-0.06063344742193277,4,12,0.09228515625,0.1845703125,False
S2_day_ahead,12,lyapunov,horizon,-1.89573482830498,-2.589116166332203,-1.2003966556532575,1,12,0.0009765625,0.00732421875,True
S2_day_ahead,12,lyapunov,oracle,-4.485836767739568,-5.152695064520017,-3.775354809616889,0,12,0.00048828125,0.00732421875,True
S2_day_ahead,12,capacitycurve,horizon,-1.1622412378068279,-1.6153293423108734,-0.7633398131061976,0,12,0.00048828125,0.00732421875,True
