hour_of_day,pct_arrivals,category
0,8.330131078946245,Delay-insensitive
1,2.164723965671833,Delay-insensitive
2,3.2492207847658086,Delay-insensitive
3,10.699799325391742,Delay-insensitive
4,8.479569617010375,Delay-insensitive
5,2.3653985739293795,Delay-insensitive
6,1.7334870415439136,Delay-insensitive
7,2.2714657785747834,Delay-insensitive
8,2.4636010418000938,Delay-insensitive
9,2.258656761026429,Delay-insensitive
10,1.6139362110926092,Delay-insensitive
11,2.0110157550915844,Delay-insensitive
12,3.091242901669442,Delay-insensitive
13,1.7804534392212117,Delay-insensitive
14,3.962256094957517,Delay-insensitive
15,3.701806071474318,Delay-insensitive
16,4.513043849536741,Delay-insensitive
17,5.255966867341274,Delay-insensitive
18,5.8366423295333245,Delay-insensitive
19,5.055292259083728,Delay-insensitive
20,6.088553007984288,Delay-insensitive
21,4.974168481277486,Delay-insensitive
22,4.577088937278511,Delay-insensitive
23,3.5224798257973617,Delay-insensitive
0,11.744167592445644,Interactive
1,1.9441358514521505,Interactive
2,4.911918743056658,Interactive
3,2.0472940803047135,Interactive
4,3.6978257419457226,Interactive
5,1.5711791779082687,Interactive
6,1.0315822885256307,Interactive
7,1.7219488970004762,Interactive
8,2.6186319631804476,Interactive
9,2.7376606887795587,Interactive
10,1.237898746230757,Interactive
11,1.134740517378194,Interactive
12,6.4037454372321845,Interactive
13,4.070782415489605,Interactive
14,2.50753848595461,Interactive
15,2.7852721790192034,Interactive
16,6.086335502301222,Interactive
17,6.054594508808125,Interactive
18,7.7924139025551495,Interactive
19,5.070623710522139,Interactive
20,10.252340898270115,Interactive
21,4.864307252817014,Interactive
22,4.562767814632598,Interactive
23,3.150293604189811,Interactive
